シナリオのテキスト,キャラ名,キャラの表情,BGM,Voice,SE,一人目表示,二人目表示,画面フェード,背景
今まで一番神に近い器を手に入れたはずなのに!!/なぜ勝てない!!,Valen,angry_open,,,,In,In,,
……兄様。,Tem,normal,,,,In,In,,
テ……ム……ぅう……!!,Valen,trouble_open,,,,In,In,,
僕は……僕はぁ……!!/テム…やはり僕には君が邪魔なようだ……!!,Valen,trouble_open,,,,In,In,,
テムに手は出させない!!/今度こそ守るんだ!!,Lucius,angry_open,,Lucius_skill,,In,In,,
兄様が教えてくれた詩……/謳うね…/ルキウス!,Tem,glad_open,,,,In,In,,
わかった!,Lucius,glad_close,,,,In,In,,
,,,,,,,,In,
,,,,,,,,Out,
,Lucius&Tem,battle,,,,In,In,,
みんな!,Lucius,battle,,,,In,In,,
,,,,,,,,In,
,,,,,,,,Out,
,Theobalt&Orphia,battle,,,,In,In,,
,,,,,,,,In,
,,,,,,,,Out,
,Nicola&Filo,battle,,,,In,In,,
―――～～～♪/―――♫♬♩♪～　,,,,,,In,In,,
お前ぇ…!!/何故その鎮魂歌を知っている……!!,Valen,angry_close,,Valen_scenario_nazeda!_,,In,In,,
ぐああぁぁぁぁああ！！！,Valen,angry_open,,,,In,In,,
ーーーバタッ。,None,None,,,,In,,,
兄様!!,Tem,surprise_open,,,,In,,,
……終わったのか?,Nicola,trouble_open,,,,In,In,,
いえ、まだです!!,Orphia,angry_open,,,,In,In,,
油断するな!,Theobalt,angry_open,,Theobalt_scenario_oi,,In,In,,
…え?,Filo,surprise,,,,In,In,,
ヴァレンから溢れだしたオーラが突如形をなし、巨大な魔物が姿を現した。,None,None,Battle2,,,In,In,,
国王陛下も…操られていた!?,Lucius,surprise_close,,Lucius_scenario_nani,,In,In,,
やっぱり…。/兄様がこんなことをするはずがないんだ!!,Tem,angry_open,,,,In,In,,
10年もかけた計画を!/よくも、よくも邪魔をしてくれたな…!!,Golem,None,,,,In,In,,
―――ドドドドドドドドド。,None,None,,,,In,In,,LastChapter_last
―――ゴゴゴゴゴゴゴゴゴゴゴゴゴ。,None,None,,,,In,In,,
城が、揺れている!?,Filo,surprise,,,,In,In,,Throne
ふははは!貴様ら全員道連れだ!,Golem,normal,,,,In,In,,
……そんなことは、させません!,Valen,None,,,,In,In,,
!?,Golem,normal,,,,In,In,,
う、動けぬ!,Golem,normal,,,,In,In,,
兄様……!!,Tem,surprise_open,,,,In,In,,
陛下、大丈夫ですか!?,Lucius,angry_open,,,,In,In,,
演奏をやめてはいけません!!/奴は今、かなり弱っています!,Valen,angry_open,,Valen_scenario_u,,In,In,,
はい!,Lucius,battle,,,,In,In,,
分かった!,Tem,battle,,,,In,In,,
ヴァレン…!/貴様ぁ、依代の分際でぇ！！,Golem,normal,,,,In,In,,
―――～～～♪/―――♫♬♩♪～,,,,,,In,In,,
ぐああああぁぁぁ！！！！,Golem,normal,,,,In,In,,
,,,,,,,,In,
,,,,,,,,Out,
危ない！！,Tem,surprise_open,,,,In,,,
―――ガサッ,None,None,,,,In,In,,
兄様！しっかりして！,Tem,trouble_open,,,,In,In,,
テム、いろんな辛い思いをさせて…すまなかった…。,Valen,trouble_open,Thrill,,,In,In,,
大丈夫、私にはルキウスとみんながいたから。,Tem,glad,,,,In,In,,
そうか……。,Valen,normal_close,,,,In,In,,
ルキウスよ、テムの世話を見てくれて…ありがと…ゴホッ。,Valen,normal_open,,,,In,In,,LastChapter_last
―――ドドドドドドドドド。,None,None,,,,In,In,,
―――ゴゴゴゴゴゴゴゴゴゴゴゴゴ。,None,None,,,,In,In,,Throne
…私の力で城の崩壊を食い止めていたが、　/どうやらもう、限界のようだ……。,Valen,trouble_open,,Valen_scenario_u,,In,In,,
じゃあ兄様も一緒に脱出しよう！,Tem,trouble_open,,,,In,In,,
……ダメだ…。,Valen,angry_close,,,,In,In,,
今私が力を解いたら……　城が一瞬にして、崩壊するだろう……。,Valen,angry_close,,,,In,In,,
そんな……！,Tem,surprise_open,,,,In,In,,
テム、これから僕…は自分が今までしてきた罪を…償わなければならない……。,Valen,trouble_open,,,,In,In,,
悪魔の、ようなものに…/身体を乗っ取られていたとしても…/到底許されるはずが…ない……。,Valen,normal_open,,,,In,In,,
そしてルキウス…これからもテムのことを…　よろしく頼む……。,Valen,happy_open,,Valen_scenario_uhuhu,,In,In,,
……！,Lucius,sad_close,,,,In,In,,
必ず…,Lucius,sad_open,,,,In,In,,
必ずテムを、幸せにします！！,Lucius,normal_open,,Lucius_scenario_hai,,In,In,,
なにを言ってるの！　/兄様を置いていくなんて、そんなことっ…,Tem,trouble_open,,Tem_scenario_naniitteruno,,In,In,,
テム…兄様からの最後の頼みです…。,Valen,trouble_open,,,,In,In,,
……生きなさい！,Valen,angry_open,,,,In,In,,
っ！！,Tem,surprise,,,,In,In,,
―――ドドドドドドドドド。,None,None,,,,In,In,,
君達、城ごと崩壊するぞ！　こっちに来るんだ！！,Casartilio,angry_open,,,,In,In,,
嬢ちゃん、手貨しな！！,Nicola,trouble_open,,Nicola_scenario_oi,,In,In,,
うん！,Filo,normal,,Filo_scenario_ikuwayo,,In,In,,
オルフィア！　俺が抱えてやる、急ごう！！,Theobalt,angry,,Theobalt_scenario_ikuzo,,In,In,,
きゃっ…！,Orphia,trouble_open,,Orphia_scenario_e,,In,In,,
ありがと…テオ。,Orphia,normal_open,,,,In,In,,
行こう、テム。,Lucius,normal,,Lucius_scenario_ikou,,In,In,,
…分かった。,Tem,trouble_open,,Tem_scenario_wakatta,,In,In,,
兄様、私…生きる。,Tem,normal_open,,Tem_scenario_nee,,In,In,,
…強く生きるよ！,Tem,glad_open,,,,In,In,,
……。,Valen,happy_close,,Valen_scenario_nhuhu,,In,In,,
テム、行こう！,Lucius,normal_open,,,,In,In,,
ルキウスはテムの手を引き、ヴァレンは安堵したかように微笑んでいる間、城は完全に崩れ落ち、ルキウスらはギリギリで外へと脱出した,None,None,,,,In,In,,
,,,,,,,,In,
こうして一行の長いようで短い旅は終わりを遂げた。,None,None,Ending,,,,,Out,LastChapter_last
家族の絆を取り戻した者…,None,None,,,,,,,
己の故郷に帰る者…,None,None,,,,,,,
新たな決意を胸に旅に出る者…,None,None,,,,,,,
後の其々の物語は、此処では語り尽くせないほど/幸せに満ちていることだろう。,None,None,,,,,,,
end,,,,,,,,,
